customer_number,Recency,Frequency,Monetary,label
846,0,140,998.3,Loyal Customers
848,3,34,522.05,Potential Loyal Customers
850,85,27,240.01,Need Attention
858,0,24,601.44,Potential Loyal Customers
859,10,55,283.32,Potential Loyal Customers
867,3,40,236.66,Potential Loyal Customers
871,0,126,940.31,Loyal Customers
872,1,41,637.97,Potential Loyal Customers
896,6,91,401.89,Loyal Customers
898,0,72,1007.53,Loyal Customers
905,1,37,1535.3,Champions
906,0,38,472.62,Potential Loyal Customers
910,2,91,715.04,Loyal Customers
912,1,21,592.45,Potential Loyal Customers
914,3,69,753.79,Loyal Customers
919,10,17,242,Potential Loyal Customers
921,1,183,1342.48,At Risk
925,91,11,81.76,Need Attention
928,6,66,1074.51,Loyal Customers
935,6,27,576.91,Potential Loyal Customers
937,0,110,1155.45,Loyal Customers
942,2,11,646.4,Potential Loyal Customers
945,108,7,328.02,Need Attention
946,1,111,1055.42,Loyal Customers
951,0,51,338.9,Potential Loyal Customers
953,0,26,457.6,Potential Loyal Customers
972,11,13,183.61,Potential Loyal Customers
974,1,34,843.44,Potential Loyal Customers
977,6,41,1239.92,Champions
1008,4,68,2365.36,Champions
1015,8,5,132.48,Potential Loyal Customers
1018,0,82,970.06,Loyal Customers
1019,2,68,1407.43,Champions
1024,104,15,151.19,Need Attention
1030,1,30,181.34,Potential Loyal Customers
1031,3,10,84.46,Potential Loyal Customers
1037,1,88,511.63,Loyal Customers
1043,0,48,769.18,Potential Loyal Customers
1045,10,17,166.05,Potential Loyal Customers
1046,1,116,1286.67,Loyal Customers
1050,5,17,391.68,Potential Loyal Customers
1060,14,40,668.68,Potential Loyal Customers
1064,1,107,783.87,Loyal Customers
1071,14,21,358.14,Potential Loyal Customers
1073,55,76,848.79,Promising Customers
1074,0,58,349.87,Potential Loyal Customers
1075,25,58,271.2,Promising Customers
1076,0,69,418.58,Potential Loyal Customers
1078,46,26,215.26,Promising Customers
1079,1,31,1730.24,Champions
1081,0,195,403.79,Loyal Customers
1083,0,33,647.31,Potential Loyal Customers
1089,36,9,154.58,Promising Customers
1096,2,90,582.47,Loyal Customers
1101,6,14,588.01,Potential Loyal Customers
1109,2,24,777.76,Potential Loyal Customers
1113,6,37,662.78,Potential Loyal Customers
1117,2,80,437.21,Loyal Customers
1118,0,81,767.9,Loyal Customers
1121,5,21,332.57,Potential Loyal Customers
1122,1,123,1150.55,Loyal Customers
1128,1,64,845.68,Loyal Customers
1129,1,54,877.87,Potential Loyal Customers
1143,1,33,520.02,Potential Loyal Customers
1145,7,45,488.66,Potential Loyal Customers
1147,0,32,439.69,Potential Loyal Customers
1149,2,135,1333.99,Loyal Customers
1152,7,28,1557.49,Champions
1163,0,101,302.99,Loyal Customers
1168,4,29,982.61,Potential Loyal Customers
1172,2,39,881.68,Potential Loyal Customers
1174,114,58,291.55,Need Attention
1195,13,51,780.54,Potential Loyal Customers
1201,0,67,976.1,Loyal Customers
1206,0,164,870.15,Loyal Customers
1212,8,60,547.99,Potential Loyal Customers
1218,3,20,137,Potential Loyal Customers
1222,4,54,486.79,Potential Loyal Customers
1223,1,47,715.31,Potential Loyal Customers
1224,21,25,151,Potential Loyal Customers
1226,6,61,965.91,Loyal Customers
1228,0,42,379.75,Potential Loyal Customers
1233,6,61,360.19,Potential Loyal Customers
1241,3,83,810.56,Loyal Customers
1242,4,31,542.02,Potential Loyal Customers
1250,0,53,384.13,Potential Loyal Customers
1253,0,144,814.6,Loyal Customers
1254,0,166,1568.6,At Risk
1257,3,27,561.73,Potential Loyal Customers
1265,0,42,429.02,Potential Loyal Customers
1267,1,35,371.13,Potential Loyal Customers
1268,0,64,584.18,Potential Loyal Customers
1281,0,49,633.78,Potential Loyal Customers
1284,4,22,205.14,Potential Loyal Customers
1286,22,23,431.67,Potential Loyal Customers
1292,11,218,946.48,At Risk
1301,1,39,225.47,Potential Loyal Customers
1308,8,25,448.26,Potential Loyal Customers
1322,1,35,943.31,Potential Loyal Customers
1325,10,20,441.8,Potential Loyal Customers
1330,3,44,1855.28,Champions
1340,3,36,479.05,Potential Loyal Customers
1357,1,100,1188.78,Loyal Customers
1364,7,47,314.99,Potential Loyal Customers
1378,2,37,687.8,Potential Loyal Customers
1379,7,37,415.21,Potential Loyal Customers
1382,6,45,805.93,Potential Loyal Customers
1388,2,42,643.7,Potential Loyal Customers
1395,3,58,800.43,Potential Loyal Customers
1397,0,51,733.48,Potential Loyal Customers
1399,1,86,749.76,Loyal Customers
1406,2,24,469.02,Potential Loyal Customers
1412,1,48,326.19,Potential Loyal Customers
1413,6,64,1048.66,Loyal Customers
1419,0,32,312.16,Potential Loyal Customers
1421,6,48,316.02,Potential Loyal Customers
1432,1,46,676.35,Potential Loyal Customers
1433,1,50,348.32,Potential Loyal Customers
1437,0,89,1035.11,Loyal Customers
1442,0,56,819.39,Potential Loyal Customers
1446,1,57,769.23,Potential Loyal Customers
1454,1,48,2785.03,Champions
1461,0,80,638,Loyal Customers
1464,6,32,529.6,Potential Loyal Customers
1469,82,70,366.15,Need Attention
1473,36,38,177.62,Promising Customers
1474,17,68,737.58,Potential Loyal Customers
1480,0,93,1847.31,Champions
1484,3,144,962.19,Loyal Customers
1497,3,77,427.07,Potential Loyal Customers
1500,29,15,130.9,Promising Customers
1508,0,27,427.23,Potential Loyal Customers
1509,22,29,420.2,Potential Loyal Customers
1511,146,6,69.47,Need Attention
1514,11,29,1097.96,Potential Loyal Customers
1519,12,33,290.89,Potential Loyal Customers
1520,2,22,573.73,Potential Loyal Customers
1524,1,17,572.2,Potential Loyal Customers
1529,6,25,301.44,Potential Loyal Customers
1540,51,7,113.93,Promising Customers
1557,21,44,609.73,Potential Loyal Customers
1559,2,71,376.09,Potential Loyal Customers
1567,1,41,712.49,Potential Loyal Customers
1579,1,159,1312.73,At Risk
1580,3,21,324.37,Potential Loyal Customers
1588,0,77,1366.6,Champions
1589,3,22,794.97,Potential Loyal Customers
1594,0,84,799.62,Loyal Customers
1595,7,68,765.7,Loyal Customers
1604,6,30,808.88,Potential Loyal Customers
1617,3,46,453.06,Potential Loyal Customers
1623,2,90,524.25,Loyal Customers
1626,1,81,576.25,Loyal Customers
1642,9,32,232.72,Potential Loyal Customers
1652,0,95,349.67,Loyal Customers
1654,0,31,427.18,Potential Loyal Customers
1657,2,27,270.47,Potential Loyal Customers
1663,1,71,435.98,Potential Loyal Customers
1669,7,26,337.48,Potential Loyal Customers
1671,1,86,756.81,Loyal Customers
1676,3,31,1017.67,Potential Loyal Customers
1696,7,52,1256.72,Champions
1697,0,20,425.66,Potential Loyal Customers
1704,5,46,305.17,Potential Loyal Customers
1707,0,116,612.61,Loyal Customers
1712,2,66,1188.48,Champions
1716,19,28,435.95,Potential Loyal Customers
1717,3,70,1562.51,Champions
1721,0,48,579.98,Potential Loyal Customers
1722,0,90,999.54,Loyal Customers
1730,6,23,605.17,Potential Loyal Customers
1731,11,26,730.88,Potential Loyal Customers
1759,0,199,1033.47,At Risk
1760,0,79,591.4,Loyal Customers
1762,2,48,521.68,Potential Loyal Customers
1764,26,38,338.71,Promising Customers
1770,13,24,392.26,Potential Loyal Customers
1774,0,77,603.32,Loyal Customers
1780,2,69,1464.01,Champions
1793,1,74,1452.63,Champions
1799,4,38,2244.34,Champions
1800,2,59,631.52,Potential Loyal Customers
1805,3,12,274.77,Potential Loyal Customers
1820,2,38,345.81,Potential Loyal Customers
1831,0,63,231.49,Potential Loyal Customers
1832,2,59,626.05,Potential Loyal Customers
1849,0,59,515.43,Potential Loyal Customers
1864,42,43,1035.65,Promising Customers
1865,123,55,253.36,Need Attention
1868,14,17,161.38,Potential Loyal Customers
1869,8,24,617.32,Potential Loyal Customers
1874,0,158,1244.1,At Risk
1886,0,95,609.97,Loyal Customers
1891,0,143,1546.27,At Risk
1893,16,28,944.04,Potential Loyal Customers
1894,1,52,576.43,Potential Loyal Customers
1901,1,156,1050.79,Loyal Customers
1903,1,37,625.88,Potential Loyal Customers
1904,0,60,362.65,Potential Loyal Customers
1905,11,24,347.8,Potential Loyal Customers
1910,6,22,258.85,Potential Loyal Customers
1911,9,42,718.45,Potential Loyal Customers
1918,5,29,459.7,Potential Loyal Customers
1922,0,108,874.83,Loyal Customers
1923,0,115,1321.28,Loyal Customers
1925,2,63,567.5,Potential Loyal Customers
1926,0,229,625.16,At Risk
1932,2,31,255.21,Potential Loyal Customers
1935,0,15,47.48,Potential Loyal Customers
1937,4,36,550.59,Potential Loyal Customers
1938,0,100,837.02,Loyal Customers
1939,0,136,799.67,Loyal Customers
1943,1,51,977.9,Potential Loyal Customers
1944,52,56,743.74,Promising Customers
1969,1,55,499.55,Potential Loyal Customers
1978,1,104,330.44,Loyal Customers
1979,2,84,479.99,Loyal Customers
1988,0,9,223.8,Potential Loyal Customers
1989,0,25,913.36,Potential Loyal Customers
1999,6,65,1055.87,Loyal Customers
2011,35,82,1484.06,Champions
2014,4,64,514.23,Potential Loyal Customers
2019,2,37,370.44,Potential Loyal Customers
2024,0,187,648.29,Loyal Customers
2029,13,47,529.61,Potential Loyal Customers
2049,0,34,497.4,Potential Loyal Customers
2056,8,41,257.2,Potential Loyal Customers
2063,6,26,1434.66,Champions
2066,0,78,980.71,Loyal Customers
2067,0,51,2020.23,Champions
2083,1,64,991.55,Loyal Customers
2110,15,24,203.81,Potential Loyal Customers
2111,1,66,2057.73,Champions
2117,0,173,517.47,Loyal Customers
2125,2,42,471.22,Potential Loyal Customers
2131,3,40,1652.12,Champions
2132,2,207,1996.59,At Risk
2138,0,80,476.85,Loyal Customers
2139,0,15,247.67,Potential Loyal Customers
2140,1,70,708.56,Loyal Customers
2141,0,73,1282.96,Champions
2146,0,61,644.21,Potential Loyal Customers
2154,7,26,538.08,Potential Loyal Customers
2162,6,28,435.5,Potential Loyal Customers
2174,1,43,342.14,Potential Loyal Customers
2177,0,69,747.78,Loyal Customers
2182,1,13,273.99,Potential Loyal Customers
2183,33,17,131.07,Promising Customers
2192,3,54,849.22,Potential Loyal Customers
2198,12,58,1073.85,Loyal Customers
2207,0,43,1471.44,Champions
2209,6,30,599.78,Potential Loyal Customers
2214,1,56,946.35,Potential Loyal Customers
2216,1,39,435.06,Potential Loyal Customers
2225,1,15,1832.45,Champions
2226,2,67,799.25,Loyal Customers
2232,0,96,1155.1,Loyal Customers
2233,0,85,1640.51,Champions
2239,0,53,513,Potential Loyal Customers
2242,15,21,226.29,Potential Loyal Customers
2243,15,19,1222.34,Potential Loyal Customers
2256,2,52,360.34,Potential Loyal Customers
2260,0,37,1537.26,Champions
2263,0,73,826.83,Loyal Customers
2275,1,81,798.1,Loyal Customers
2277,1,74,894.74,Loyal Customers
2279,34,22,361.1,Promising Customers
2282,32,11,763.86,Promising Customers
2290,17,41,620.09,Potential Loyal Customers
2291,6,23,675.13,Potential Loyal Customers
2301,0,23,376.32,Potential Loyal Customers
2312,2,39,553.91,Potential Loyal Customers
2313,3,33,259.51,Potential Loyal Customers
2322,0,107,662.25,Loyal Customers
2326,1,139,2119.47,At Risk
2327,5,32,414.14,Potential Loyal Customers
2352,6,19,173.66,Potential Loyal Customers
2359,3,96,828.22,Loyal Customers
2366,1,73,2045.28,Champions
2370,0,74,457.46,Potential Loyal Customers
2376,0,105,487.4,Loyal Customers
2377,0,89,1589.96,Champions
2379,36,44,257.66,Promising Customers
2388,10,99,629.31,Loyal Customers
2392,5,19,176.93,Potential Loyal Customers
2414,2,56,577.65,Potential Loyal Customers
2417,47,44,892.61,Promising Customers
2427,1,56,1672.41,Champions
2431,21,20,1316.05,Champions
2438,4,31,455.61,Potential Loyal Customers
2442,0,80,536.53,Loyal Customers
2445,0,43,341.21,Potential Loyal Customers
